Modelo,TN,FP,FN,TP,Total_Errores,Accuracy,Precision,Recall,F1,ROC_AUC
Regresión Logística,883,197,125,249,322,0.7785419532324622,0.5582959641255605,0.6657754010695187,0.6073170731707317,0.8326388888888888
Random Forest,901,179,164,210,343,0.7640990371389271,0.5398457583547558,0.5614973262032086,0.5504587155963303,0.8155847692612398
KNN,768,312,83,291,395,0.7283356258596974,0.48258706467661694,0.7780748663101604,0.5957011258955988,0.8090772925331748
