modelo,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,score_ponderado
Regresión Logística,0.7785419532324622,0.5582959641255605,0.6657754010695187,0.6073170731707317,0.8326388888888888,883,197,125,249,0.6101482388268165
Random Forest,0.7640990371389271,0.5398457583547558,0.5614973262032086,0.5504587155963303,0.8155847692612398,901,179,164,210,0.5505864116059214
KNN,0.7283356258596974,0.48258706467661694,0.7780748663101604,0.5957011258955988,0.8090772925331748,768,312,83,291,0.6164790296542727
